time,X_0_mean,X_1_mean,X_2_mean,X_3_mean,kappa_1_mean,X_0_sd,X_1_sd,X_2_sd,X_3_sd,kappa_1_sd,X_0_se,X_1_se,X_2_se,X_3_se,kappa_1_se
0,0.01831409956421703,0.07329099813103676,0.14660079617798327,0.195371995434165,3.9993131906986235,0.0013808178130321049,0.0026235665457173523,0.0036113822099108693,0.003945869326046447,0.02031941995890259,4.366529322913983e-05,8.296445877487107e-05,0.00011420193284730655,0.00012477934419700338,0.0006425564780361715
1,0.018297899555414915,0.07333039817586541,0.14650889629125596,0.1955330949574709,3.9995408959388734,0.0019272570608351342,0.003758720936173141,0.004882514422204567,0.005614910435365597,0.027237367196044995,6.094521948880716e-05,0.000118861192472675,0.00015439866282787425,0.00017755905833602935,0.0008613211780585613
2,0.01840259956102818,0.07331689812242985,0.14650429637730122,0.1954143949598074,3.9993355000019073,0.002353348991342812,0.004633466587828346,0.005939606770419423,0.006670558396964982,0.03378608408557999,7.441942941903163e-05,0.00014652307879826188,0.00018782685800282196,0.0002109415779957096,0.0010684097892840001
3,0.018351099534891547,0.07348819812387228,0.14634269639849662,0.19550019508600236,3.9995543010234833,0.002612493760525712,0.0054182467629630875,0.006735649417742089,0.00747021960722726,0.03972655405657929,8.261430656239738e-05,0.00017134000695797808,0.0002129999368045196,0.0002362290858048657,0.001256263944085922
4,0.01828179953619838,0.07353459810465575,0.14613719630241395,0.195574295014143,4.000557203531265,0.0028852162428809405,0.0059373743574863075,0.007348374535048198,0.007913848482465126,0.04469934307075233,9.123854869617343e-05,0.00018775626290735536,0.0002323760063073312,0.000250257862620569,0.0014135173401684234
5,0.01825339953042567,0.07354059812426567,0.14614889642596246,0.19559999518096446,4.000834900140762,0.003190214012582909,0.006260618626632112,0.007828555367859848,0.008598444663287682,0.04860457518976375,0.00010088342503147058,0.0001979781442183277,0.00024756065751174445,0.00027190669470908657,0.0015370116230456418
6,0.018281199528835713,0.07354269813001156,0.14617499643564225,0.19578209529817103,4.000626802682876,0.0034260566154168666,0.006706295407764932,0.008280570137886838,0.009260613600454423,0.051004841939764255,0.00010834142297404846,0.00021207168150464838,0.00026185461960496944,0.00029284631508168484,0.0016129147222653573
7,0.018279099550098182,0.0735508981347084,0.14601829650253056,0.19558769488334657,4.001218700408936,0.003687539881312065,0.007026248245876788,0.008789136219987944,0.009910534324980229,0.055177226190458444,0.000116610249876531,0.0002221894786273343,0.0002779368912064463,0.00031339861296216887,0.0017448570973214435
8,0.01820579953212291,0.07352799815312028,0.1462606964930892,0.19551749512553215,4.0007915017604825,0.0039037552210314254,0.007448795702369443,0.00933854633719563,0.010173433718878256,0.057493996378776564,0.00012344757926233352,0.00023555160244761124,0.00029531076460560985,0.00032171222176412425,0.0018181198034240684
9,0.018173999526072293,0.0737071981728077,0.14615789637714624,0.19559059503674509,3.9999798946380616,0.004180380207309224,0.007813618745651563,0.009854382916007735,0.01054474542667687,0.0611314736868509,0.00013219522940584015,0.0002470883200444681,0.0003116229495003619,0.00033345412894942954,0.0019331469357309972
10,0.01812569954060018,0.0737776980996132,0.1461772964671254,0.19560299506783485,3.9997895979881286,0.004359676043475226,0.0080364129218039,0.010134273193605933,0.010884467418369006,0.06344613416882795,0.00013786506157852975,0.00025413369050508966,0.000320473857221833,0.000344197081599389,0.002006342927061303
11,0.01810179954301566,0.07369299815222621,0.1462623962238431,0.1957845949679613,4.000015293598175,0.004556621414653351,0.00840262654048645,0.010413029871024321,0.01109331487182961,0.0669728378512644,0.0001440930210540313,0.00026571438195718215,0.0003292889173580623,0.00035080141796400426,0.0021178670897513264
12,0.018111199556384235,0.07364439813420176,0.14645109643042087,0.19594059509038925,3.9995220057964325,0.0047541724646356235,0.008618401306392565,0.010941107885829741,0.011423789418465509,0.0691998837397228,0.00015034013377504876,0.00027253777917571185,0.00034598821044851477,0.000361251940724814,0.002188292464363745
13,0.018107599563430995,0.07367029805481434,0.14620569641143083,0.196121095135808,3.9995521993637086,0.004861231588838861,0.008942126417564188,0.011315916936299754,0.0115226738518592,0.0715987925804264,0.00015372564054289968,0.00028277486604664733,0.0003578407133198172,0.0003643789410714068,0.002264152622721119
14,0.018111599548719822,0.07375559806823731,0.14630299627035856,0.19607319515943528,3.9989602928161623,0.004962242249258373,0.009153037805765547,0.011467105250695431,0.011755729277212811,0.07315155831978963,0.00015691987809173444,0.00028944446975848995,0.00036262170761073686,0.00037174880072317443,0.002313255386811751
15,0.01808289956348017,0.07376579814776778,0.14629959638416767,0.19603279519081115,3.9989873065948487,0.005097179387043935,0.009343282226057367,0.011659587575929586,0.012014040667163746,0.07508353875814472,0.0001611869650551979,0.00029546052656109496,0.00036870853318138916,0.00037991732410126326,0.002374349972612677
16,0.018078799523878843,0.07396509812399744,0.14640899611264468,0.19601919515430927,3.9971668984889983,0.00529253060797005,0.009736411212806344,0.012078993771022435,0.012339551405469317,0.07699193719143385,0.0001673645130734106,0.00030789235668470416,0.00038197132159417256,0.0003902108774601495,0.002434698829935583
17,0.01806339953141287,0.07384989818185568,0.1462935961484909,0.1959645951986313,3.998344200849533,0.005435608921685058,0.009945156613184234,0.01214591678590429,0.012472588560943562,0.0788736212113093,0.00017188904662456594,0.00031449346584748325,0.00038408761314329256,0.000394417881707435,0.0024942029033310623
18,0.018081599519588053,0.07373499814793467,0.14622639641910792,0.196084794908762,3.9979850006103517,0.005581262426829352,0.010139834540325889,0.012497222551847948,0.01279317341165413,0.08114934856324582,0.00017649501487899616,0.0003206497224467627,0.0003951968768986123,0.00040455566482333947,0.0025661677209876926
