time,X_0_mean,X_1_mean,X_2_mean,X_3_mean,kappa_1_mean,X_0_sd,X_1_sd,X_2_sd,X_3_sd,kappa_1_sd,X_0_se,X_1_se,X_2_se,X_3_se,kappa_1_se
0,0.01830019956175238,0.0732627980336547,0.14672269636392593,0.19523509493470192,4.000576102256775,0.0013248302201281704,0.0026095834764634424,0.0034609903076482655,0.003919242259923074,0.019341054333945548,4.1894810086272696e-05,8.25222752996488e-05,0.00010944612331935396,0.0001239373224334257,0.0006116178404433882
1,0.01834149953722954,0.07327509809285403,0.14688339626789093,0.1952566951215267,3.9995849034786226,0.0018915775491077625,0.003627970713346494,0.004907794840801153,0.005270929520169855,0.02714653830750946,5.981693426019533e-05,0.00011472650738560758,0.00015519809985755113,0.00016668142669955168,0.000858448916407423
2,0.018327999552711846,0.07324909809231758,0.14683459623157977,0.1952222951501608,4.000545601129532,0.0023431872075707788,0.0044126874454170325,0.00606851282890728,0.006576214516953747,0.03397077198424253,7.409808560093401e-05,0.00013954142929947756,0.00019190322549298707,0.00020795816255437825,0.00107425013344444
3,0.018283899544738233,0.07324579810351134,0.14663639633357525,0.195201494961977,4.001634199142456,0.0026907565123143106,0.005038246359177019,0.006837485193614685,0.007362395804010128,0.039067587460882215,8.508919207844127e-05,0.0001593233390805016,0.00021622026679499784,0.00023281939776338643,0.0012354255906422214
4,0.01825719954119995,0.0732482983097434,0.1467474965825677,0.19499389493465424,4.001780900478363,0.0029656639966366086,0.00558697853870799,0.007441380763586413,0.007707402528671279,0.04308373649152849,9.378253004129619e-05,0.00017667577420796453,0.0002353171214949603,0.00024372946834342463,0.0013624273742374174
5,0.018263099532574417,0.07309969810396433,0.14667889624089003,0.19501649503409862,4.002442596912384,0.0032161890228193622,0.006064388279532198,0.007848633298039141,0.008164129373702698,0.04792869558676507,0.00010170482697740439,0.00019177279578951623,0.00024819557741242846,0.000258172439331845,0.0015156384333503796
6,0.018236599551513792,0.07306819819286466,0.1464966963082552,0.19493809512257576,4.004119189500809,0.003444015242953231,0.006362142920642661,0.008391296073674162,0.008858621129759435,0.05123313299549653,0.00010890932464070376,0.00020118862428746695,0.00026535608113638435,0.00028013419698533833,0.0016201339193209418
7,0.018189899540040643,0.07304939815402031,0.1468138959929347,0.1949111952483654,4.003563002586365,0.0036945658985599993,0.0067071037802600595,0.008920352557245543,0.009396126777641026,0.05535074527100598,0.00011683243205036201,0.00021209724448747273,0.00028208631612603455,0.0002971316180104412,0.001750344252441728
8,0.018181899529416113,0.07295559814572335,0.1466978963315487,0.19501399506628514,4.005032898187637,0.003946316624711936,0.00712700357412101,0.009239834049869064,0.009878802094193158,0.05852104138313798,0.00012479348902277637,0.00022537564186383066,0.00029218920799564067,0.00031239515171691624,0.0018505978181568648
9,0.018243999553378673,0.07302259814366699,0.14661699641495943,0.19479709509015083,4.005140697240829,0.004118993734568561,0.007528345293549167,0.009681259843344189,0.010276743706236654,0.062030003166202274,0.00013025401869199685,0.00023806718139824293,0.00030614831724892555,0.00032497917041508166,0.001961560932726553
