N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,stop_time,simulated_until,simulated_until_rule,kappa_1_at_t0,kappa_1_at_stop,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0,num_classes,T_MAX
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,0,True,1046.0,1046.0,1046,1046,"min(t_0, 10000000)",5.3953,5.3953,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,1,True,609.0,609.0,609,609,"min(t_0, 10000000)",4.3368,4.3368,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,2,True,97.0,97.0,97,97,"min(t_0, 10000000)",4.5929,4.5929,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,3,True,156.0,156.0,156,156,"min(t_0, 10000000)",4.8222,4.8222,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,4,True,231.0,231.0,231,231,"min(t_0, 10000000)",4.5132,4.5132,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,5,True,826.0,826.0,826,826,"min(t_0, 10000000)",4.3257,4.3257,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,6,True,102.0,102.0,102,102,"min(t_0, 10000000)",4.7421,4.7421,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,7,True,518.0,518.0,518,518,"min(t_0, 10000000)",4.7054996,4.7054996,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,8,True,1653.0,1653.0,1653,1653,"min(t_0, 10000000)",4.3613,4.3613,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,9,True,566.0,566.0,566,566,"min(t_0, 10000000)",4.6925,4.6925,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,10,True,882.0,882.0,882,882,"min(t_0, 10000000)",4.5580997,4.5580997,0,0.0,1.0,1.0,10000,10000000
10000,0.7,0.5,0.032236191301916656,4.605170185988092,0.007000000000000003,0.3729140689055746,0.7,one_minus_alpha_power,11,True,136.0,136.0,136,136,"min(t_0, 10000000)",4.6461,4.6461,0,0.0,1.0,1.0,10000,10000000
