N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,stop_time,simulated_until,simulated_until_rule,kappa_1_at_t0,kappa_1_at_stop,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0,num_classes,T_MAX
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,0,True,11751.0,11751.0,11751,11751,"min(t_0, 1000000)",1.8611,1.8611,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,1,True,20630.0,20630.0,20630,20630,"min(t_0, 1000000)",1.9885,1.9885,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,2,True,15953.0,15953.0,15953,15953,"min(t_0, 1000000)",1.2272999,1.2272999,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,3,True,4225.0,4225.0,4225,4225,"min(t_0, 1000000)",1.8568,1.8568,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,4,True,78465.0,78465.0,78465,78465,"min(t_0, 1000000)",1.9800999,1.9800999,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,5,True,36233.0,36233.0,36233,36233,"min(t_0, 1000000)",1.7634,1.7634,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,6,True,119574.0,119574.0,119574,119574,"min(t_0, 1000000)",1.6814,1.6814,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,7,True,9215.0,9215.0,9215,9215,"min(t_0, 1000000)",1.495,1.495,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,8,True,36815.0,36815.0,36815,36815,"min(t_0, 1000000)",1.6962999,1.6962999,0,0.0,1.0,1.0,10000,1000000
10000,2.0,0.1,0.00046270658019903764,0.9210340371976184,0.0005023772863019161,0.8336735810771482,2.0,exponential,9,True,115996.0,115996.0,115996,115996,"min(t_0, 1000000)",1.8139,1.8139,0,0.0,1.0,1.0,10000,1000000
