N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,t_0,first_loss_time,kappa_1_at_t0,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,0,32631.0,32631.0,3.27083,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,1,25056.0,25056.0,2.7114298,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,2,71783.0,71783.0,3.0495899,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,3,17984.0,17984.0,3.1868398,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,4,38771.0,38771.0,2.81072,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,5,71127.0,71127.0,2.1252499,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,6,36695.0,36695.0,2.82464,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,7,30557.0,30557.0,2.9510598,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,8,11064.0,11064.0,2.35162,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,9,29043.0,29043.0,3.2853498,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,10,44265.0,44265.0,2.6929,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,11,70222.0,70222.0,2.5054,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,12,38069.0,38069.0,3.2177298,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,13,6269.0,6269.0,3.08462,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,14,55476.0,55476.0,2.4242399,0,0.0,1.0,1.0
100000,0.7,0.2,0.00016118095650958323,2.302585092994046,7.000000000000001e-05,0.7585372542572559,0.7,exponential,15,5496.0,5496.0,2.57288,0,0.0,1.0,1.0
