generation,X_0_count,X_0_frequency
0,3,3.000000e-04
1,7,7.000000e-04
2,13,1.300000e-03
3,17,1.700000e-03
4,21,2.100000e-03
5,16,1.600000e-03
6,8,8.000000e-04
7,6,6.000000e-04
8,8,8.000000e-04
9,5,5.000000e-04
10,5,5.000000e-04
11,7,7.000000e-04
12,10,1.000000e-03
13,10,1.000000e-03
14,9,9.000000e-04
15,8,8.000000e-04
16,13,1.300000e-03
17,11,1.100000e-03
18,13,1.300000e-03
19,13,1.300000e-03
20,15,1.500000e-03
21,13,1.300000e-03
22,9,9.000000e-04
23,5,5.000000e-04
24,9,9.000000e-04
25,9,9.000000e-04
26,8,8.000000e-04
27,7,7.000000e-04
28,12,1.200000e-03
29,16,1.600000e-03
30,25,2.500000e-03
31,21,2.100000e-03
32,14,1.400000e-03
33,12,1.200000e-03
34,13,1.300000e-03
35,13,1.300000e-03
36,14,1.400000e-03
37,9,9.000000e-04
38,14,1.400000e-03
39,11,1.100000e-03
40,8,8.000000e-04
41,7,7.000000e-04
42,8,8.000000e-04
43,8,8.000000e-04
44,10,1.000000e-03
45,8,8.000000e-04
46,9,9.000000e-04
47,12,1.200000e-03
48,16,1.600000e-03
49,24,2.400000e-03
50,31,3.100000e-03
51,35,3.500000e-03
52,32,3.200000e-03
53,23,2.300000e-03
54,20,2.000000e-03
55,20,2.000000e-03
56,22,2.200000e-03
57,23,2.300000e-03
58,23,2.300000e-03
59,17,1.700000e-03
60,21,2.100000e-03
61,21,2.100000e-03
62,23,2.300000e-03
63,25,2.500000e-03
64,25,2.500000e-03
65,26,2.600000e-03
66,30,3.000000e-03
67,14,1.400000e-03
68,13,1.300000e-03
69,15,1.500000e-03
70,11,1.100000e-03
71,4,4.000000e-04
72,4,4.000000e-04
73,5,5.000000e-04
74,4,4.000000e-04
75,4,4.000000e-04
76,5,5.000000e-04
77,4,4.000000e-04
78,11,1.100000e-03
79,8,8.000000e-04
80,8,8.000000e-04
81,10,1.000000e-03
82,15,1.500000e-03
83,10,1.000000e-03
84,12,1.200000e-03
85,9,9.000000e-04
86,5,5.000000e-04
87,3,3.000000e-04
88,4,4.000000e-04
89,1,1.000000e-04
90,3,3.000000e-04
91,1,1.000000e-04
92,0,0.000000e+00
