generation,X_0_count,X_0_frequency
0,4,4.000000e-04
1,8,8.000000e-04
2,8,8.000000e-04
3,6,6.000000e-04
4,7,7.000000e-04
5,10,1.000000e-03
6,6,6.000000e-04
7,10,1.000000e-03
8,12,1.200000e-03
9,9,9.000000e-04
10,12,1.200000e-03
11,10,1.000000e-03
12,13,1.300000e-03
13,17,1.700000e-03
14,17,1.700000e-03
15,17,1.700000e-03
16,18,1.800000e-03
17,20,2.000000e-03
18,19,1.900000e-03
19,24,2.400000e-03
20,15,1.500000e-03
21,14,1.400000e-03
22,7,7.000000e-04
23,5,5.000000e-04
24,5,5.000000e-04
25,5,5.000000e-04
26,6,6.000000e-04
27,4,4.000000e-04
28,6,6.000000e-04
29,3,3.000000e-04
30,0,0.000000e+00
